ds;y
2017-12-24;558374.1062259444
2017-12-26;414074.3265779582
2017-12-27;842091.3874871674
2017-12-28;696673.0520133048
2017-12-29;862551.0978746657
2017-12-30;992437.9588507996
2017-12-31;474618.8723698923
2018-01-02;559778.613449163
2018-01-03;565716.7045947664
2018-01-04;492392.6572843026
2018-01-05;530140.4449275195
2018-01-06;783204.1847629861
2018-01-07;551251.150843794
2018-01-08;463008.7837401009
2018-01-09;480952.0793132087
2018-01-10;568417.1924075339
2018-01-11;500596.95577162236
2018-01-12;588022.2857521717
2018-01-13;871766.04399463
2018-01-14;640009.7900921815
2018-01-15;519140.8826303678
2018-01-16;508870.2103677361
2018-01-17;546359.1516984159
2018-01-18;497006.83172621415
2018-01-19;533003.0607662606
2018-01-20;768048.905650832
2018-01-21;555562.1058717695
2018-01-22;477638.64938484214
2018-01-23;468764.88912380446
2018-01-24;499872.33684137464
2018-01-25;465000.08464416565
2018-01-26;504256.9732496128
2018-01-27;718888.4374981368
2018-01-28;538202.1735677054
2018-01-29;453603.29032342846
2018-01-30;454626.91554213106
2018-01-31;508587.3608357139
2018-02-01;422061.7360711801
2018-02-02;471335.0019618173
2018-02-03;666802.4561815686
2018-02-04;498727.05279283505
2018-02-05;426586.16900771466
2018-02-06;385927.4885190954
2018-02-07;433005.6000764192
2018-02-08;433410.36934283806
2018-02-09;497779.21551713574
2018-02-10;713558.9883744646
2018-02-11;526932.47842003
2018-02-12;458959.573964214
2018-02-13;467849.19142459746
2018-02-14;492625.1908888457
2018-02-15;519836.51216510235
2018-02-16;426046.85995671916
2018-02-17;641112.2084878889
2018-02-18;508544.8623818916
2018-02-19;455940.9082094256
2018-02-20;450064.7384126383
2018-02-21;511521.2229454945
2018-02-22;458531.8450965488
2018-02-23;489226.2615699789
2018-02-24;677086.1929984448
2018-02-25;547220.9387851001
2018-02-26;438211.1678499317
2018-02-27;431921.8701776859
2018-02-28;463758.2562454353
2018-03-01;419010.32196259353
2018-03-02;464557.1556701196
2018-03-03;654455.3218339861
2018-03-04;524250.69843050034
2018-03-05;429015.6542880931
2018-03-06;421908.49812649743
2018-03-07;456482.7586640945
2018-03-08;407952.7035693608
2018-03-09;486520.54600288713
2018-03-10;772159.621260866
2018-03-11;544855.9452466067
2018-03-12;477352.39843041304
2018-03-13;479863.65313240234
2018-03-14;505885.42355317075
2018-03-15;475520.64549612114
2018-03-16;644348.7198868272
2018-03-17;892168.1234638481
2018-03-18;708154.5726739952
2018-03-19;451910.5222143587
